,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,197787.0,3479.0360349416733,1416,759,1.865612648221344,5.433845500462619,61.19558784158048,6.395666666666667,13.643413020833334,4.388006770833333,24.025329103133817,40.20093140501166,21.44841187827095,12.63965606694234,0.9976657728180202,0.9117375851644554,1.6886892880991098
0,101297.0,2491.2102385759354,1191,130,9.161538461538461,1.5284756705529285,61.26665599954164,7.049316145833333,9.232017708333334,10.876065625,33.81620502961949,37.38222055491552,46.47922962038006,8.137424082767671,0.9971911347495986,0.9448180858455831,1.1937952652276922
0,86626.5,2291.511754155159,1096,119,9.210084033613445,1.5055900907920787,60.61685649808377,3.4343026041666667,6.371511458333333,2.6447572916666666,19.975698947358936,29.057373993583756,19.27504973278957,8.553729373141717,0.996610015252205,0.959022707535522,0.848758013774732
0,190481.0,2858.4793519973755,1319,254,5.192913385826771,1.7588420892372467,42.89616395228572,7.670414583333334,13.303598958333334,6.049156770833333,28.82288535743978,40.2218451420474,26.948603797464493,8.440040958173972,0.9984187718969972,0.9143313455125821,1.6739145504611443
0,228035.0,2920.4204775094986,1325,286,4.6328671328671325,1.6618063016642182,37.40152066769052,8.992027604166667,16.671172916666666,6.29428125,30.967157947359965,45.04019750732973,28.595326115105568,8.64143845786884,0.9985677251242705,0.8986437535801612,1.9680816577699098
0,234048.5,3693.223978281021,1435,954,1.5041928721174005,5.849172286940528,58.2781062632313,7.319240104166667,15.730615104166667,4.43293125,24.81753263038167,42.2213212701679,21.53426747630638,14.561432587793355,0.9977080828077649,0.895653920719737,1.957151261065817
0,258476.0,3543.6777398586273,1396,874,1.597254004576659,4.720376359894149,48.58343491840461,9.674848958333333,18.432271354166666,6.657214583333333,28.70796453672343,46.43166266942421,24.427573585665854,11.795340512326526,0.9981005317049454,0.884638910869112,2.126015067128016
0,244729.5,3737.5427380800247,1480,913,1.6210295728368018,5.521361339764924,57.08026910926034,9.033226041666667,16.534254166666667,6.9478442708333334,29.570095116465566,43.37797982783121,28.114027064807853,13.62787261044335,0.9979453873934249,0.8890179384430495,2.070195696160941
0,223997.5,3144.902792453766,1405,388,3.6211340206185567,2.4336878759807585,44.15412481828366,8.594645833333333,16.134782291666667,5.9357151041666665,28.13372567384623,43.99786719954565,24.565104341450155,12.593450470242827,0.9977369773958549,0.896626529208551,1.8916949759897035
0,288747.0,3083.8561116456985,1330,450,2.9555555555555557,2.072748807779821,32.93599073699303,9.552538020833333,19.346294791666665,6.716408333333334,27.72882559581335,45.99022483003598,24.64435095716523,10.302925338868578,0.9985952236775988,0.8743764564290213,2.2866094509302535
0,326080.0,3439.639074444771,1372,771,1.7795071335927366,3.2440260058881254,36.28286605264745,10.793174479166666,23.0670171875,6.9855109375,28.372411551830304,50.8309288725943,23.943089925304864,13.03182781247572,0.998272822980703,0.8556832424033218,2.586471534538254
0,280940.5,3638.145767211914,1417,914,1.5503282275711159,4.610008168989519,47.1135511735829,10.49335,19.798978125,8.049865625,30.772753108919243,47.62327968893756,28.250066627551686,12.60749271064628,0.9981867771803934,0.8747523553471561,2.2926823612328144
0,327096.0,3339.1252241134644,1411,564,2.50177304964539,2.4329371193777973,34.08710978523367,9.732555729166666,23.087016666666667,5.9583703125,25.739689018119428,50.91529957905313,21.002124242520917,15.702291979976065,0.9979333511637092,0.85581522081751,2.588301628989
0,248687.0,3403.54570043087,1344,812,1.6551724137931034,4.3883596649603716,46.58113747369771,8.4953953125,17.5386359375,5.8218375,26.50283506149587,45.37499598225141,23.25147687510613,14.59666392805515,0.9976232728071761,0.8882034040768002,2.0927719489424215
0,295897.5,3617.7193623781204,1413,899,1.57174638487208,4.29299673028667,44.23117256795192,11.034011458333334,20.444709375,8.72889375,31.289176434842492,47.782072957038906,29.247208651445888,13.050817720946672,0.9982035821243895,0.868840623143905,2.376753905908901
0,235618.0,3672.094036579132,1418,966,1.4679089026915113,5.813596584301709,57.229390850784,7.761883854166666,15.329428645833334,5.7052463541666665,26.47335887998716,41.271422394373666,25.070850250189633,13.606290650515175,0.9979372433776924,0.8940092447348333,1.9932445632974236
0,209606.5,3490.7832905054092,1400,821,1.705237515225335,5.483608571299077,58.13544895445404,8.131403125,15.888586979166666,6.078086979166667,28.833973648176546,44.778705552895964,27.204572222689286,9.484266604620927,0.9982178179855186,0.9049351947533322,1.833117465451994
0,278127.5,3384.07261967659,1312,841,1.5600475624256838,3.9672164744586564,41.17517144203568,10.038700520833334,19.935440625,7.3475359375,28.657903972240987,48.06238483735242,25.47056298294132,11.851955275446695,0.998185205819791,0.8771598226869467,2.241877136295646
0,199110.0,3598.623911380768,1423,861,1.6527293844367015,6.153397619406358,65.03989782311996,6.8991171875,14.7263265625,5.054159375,26.06507505767649,42.93309356617695,24.967669033580883,11.9076331722489,0.9977332679402706,0.9075373051983704,1.7982845320075245
0,193727.5,3384.5091222524643,1362,759,1.7944664031620554,5.336144842626886,59.128941418281585,5.766157291666667,14.245190104166667,3.447284375,22.58559595563269,42.26467495439096,20.10945930040257,12.322516573477433,0.9975855464114816,0.9110573622242593,1.7040686613145648
